1 1.0386 42.64  1.134071 40.00
2 0.7223 67.51  1.010705 43.53
3 0.6315 78.17  0.924254 48.24
4 0.4148 90.36  0.872226 58.82
5 0.2317 98.48  0.867837 61.18
6 0.2409 92.89  0.972686 63.53
7 0.1198 99.49  1.104708 60.00
8 0.0624 100.00  0.965632 58.82
9 0.0502 100.00  1.050376 57.65
10 0.0407 100.00  1.101359 61.18
11 0.0278 100.00  1.126399 62.35
12 0.0449 100.00  1.287688 62.35
13 0.0149 100.00  1.167282 60.00
14 0.0237 100.00  1.292599 57.65
15 0.0097 100.00  1.295191 61.18
16 0.0059 100.00  1.194755 58.82
17 0.0044 100.00  1.248759 60.00
18 0.0035 100.00  1.224217 61.18
19 0.0047 100.00  1.309405 55.29
20 0.0033 100.00  1.336856 56.47
21 0.0033 100.00  1.266007 62.35
22 0.0022 100.00  1.293171 61.18
23 0.0022 100.00  1.297914 61.18
24 0.0017 100.00  1.305397 62.35
25 0.0015 100.00  1.328915 61.18
26 0.0013 100.00  1.365273 58.82
27 0.0012 100.00  1.347477 61.18
28 0.0011 100.00  1.369038 61.18
29 0.0016 100.00  1.274375 64.71
30 0.0015 100.00  1.260326 61.18
31 0.0011 100.00  1.321354 60.00
32 0.0010 100.00  1.320046 58.82
33 0.0009 100.00  1.335526 58.82
34 0.0010 100.00  1.416337 60.00
35 0.0009 100.00  1.451021 56.47
36 0.0009 100.00  1.434915 61.18
37 0.0007 100.00  1.409962 56.47
38 0.0007 100.00  1.394221 57.65
39 0.0007 100.00  1.399216 58.82
40 0.0006 100.00  1.418798 56.47
41 0.0006 100.00  1.378017 58.82
42 0.0006 100.00  1.378605 58.82
43 0.0006 100.00  1.411625 58.82
44 0.0005 100.00  1.414121 56.47
45 0.0005 100.00  1.412478 57.65
46 0.0005 100.00  1.431887 56.47
47 0.0005 100.00  1.428035 57.65
48 0.0005 100.00  1.427077 57.65
49 0.0005 100.00  1.412487 57.65
50 0.0005 100.00  1.406051 56.47
