1 0.9987 50.25  1.013554 45.88 3.3187
2 0.8738 63.45  0.980487 49.41 1.2024
3 0.8013 77.16  1.007949 47.06 1.0019
4 0.6195 79.19  0.916465 47.06 0.8674
5 0.4559 89.34  0.826330 62.35 0.7580
6 0.3787 98.48  0.760629 63.53 0.6609
7 0.2500 95.94  0.746776 61.18 0.5389
8 0.2029 94.42  0.849856 57.65 0.4426
9 0.1149 97.97  0.736965 58.82 0.3291
10 0.0806 100.00  0.763497 63.53 0.2753
11 0.0788 98.98  0.793010 57.65 0.2539
12 0.0374 99.49  0.738863 64.71 0.2170
13 0.0354 99.49  0.758891 68.24 0.1660
14 0.0224 100.00  0.862856 62.35 0.1180
15 0.0154 100.00  0.932062 60.00 0.0943
16 0.0199 100.00  0.913910 63.53 0.1270
17 0.0115 100.00  0.804472 64.71 0.0958
18 0.0136 100.00  0.991665 57.65 0.0905
19 0.0058 100.00  0.853380 62.35 0.0584
20 0.0064 100.00  1.023598 57.65 0.0710
21 0.0111 100.00  1.249046 54.12 0.0552
22 0.0029 100.00  0.883224 61.18 0.0611
23 0.0024 100.00  0.853749 62.35 0.0461
24 0.0028 100.00  0.914518 63.53 0.0266
25 0.0016 100.00  1.007090 63.53 0.0207
26 0.0012 100.00  1.009107 57.65 0.0177
27 0.0009 100.00  0.900144 65.88 0.0317
28 0.0008 100.00  1.008323 67.06 0.0103
29 0.0006 100.00  1.027385 61.18 0.0133
30 0.0005 100.00  0.965747 63.53 0.0115
31 0.0010 100.00  0.931213 64.71 0.0279
32 0.0009 100.00  1.126447 64.71 0.0198
33 0.0006 100.00  0.937556 67.06 0.0157
34 0.0005 100.00  0.983022 65.88 0.0121
35 0.0005 100.00  1.118218 67.06 0.0153
36 0.0004 100.00  1.001131 64.71 0.0151
37 0.0006 100.00  1.299673 60.00 0.0199
38 0.0008 100.00  1.378737 61.18 0.0134
39 0.0003 100.00  1.075766 65.88 0.0129
40 0.0004 100.00  1.077495 67.06 0.0123
41 0.0003 100.00  1.017041 65.88 0.0063
42 0.0003 100.00  1.041155 64.71 0.0082
43 0.0002 100.00  1.038062 64.71 0.0073
44 0.0002 100.00  1.126881 63.53 0.0088
45 0.0002 100.00  1.120331 64.71 0.0045
46 0.0002 100.00  1.102440 64.71 0.0049
47 0.0002 100.00  1.087748 65.88 0.0089
48 0.0002 100.00  1.106499 65.88 0.0050
49 0.0002 100.00  1.071656 65.88 0.0091
50 0.0002 100.00  1.080456 65.88 0.0049
